Time,Temperature,Humidity(%RH),MAC address(49:22:11:08:0C:D6)
13/04/2024 5:50,31.29,78.92,
13/04/2024 5:40,31.26,78.81,
13/04/2024 5:30,31.23,78.71,
13/04/2024 5:20,31.12,79.67,
13/04/2024 5:10,31.16,79.58,
13/04/2024 5:00,31.2,79.49,
13/04/2024 4:50,31.23,79.41,
13/04/2024 4:40,31.27,79.32,
13/04/2024 4:30,31.3,79.24,
13/04/2024 4:20,31.34,79.15,
13/04/2024 4:10,31.37,79.07,
13/04/2024 4:00,31.41,78.98,
13/04/2024 3:50,31.44,78.9,
13/04/2024 3:40,31.01,79.86,
13/04/2024 3:30,31.04,79.82,
13/04/2024 3:20,31.07,79.78,
13/04/2024 3:10,31.1,79.75,
13/04/2024 3:00,31.13,79.71,
13/04/2024 2:50,31.16,79.68,
13/04/2024 2:40,31.19,79.64,
13/04/2024 2:30,31.22,79.61,
13/04/2024 2:20,31.25,79.57,
13/04/2024 2:10,31.28,79.54,
13/04/2024 2:00,31.23,79.59,
13/04/2024 1:50,31.2,79.64,
13/04/2024 1:40,31.17,79.68,
13/04/2024 1:30,31.15,79.72,
13/04/2024 1:20,31.12,79.76,
13/04/2024 1:10,31.1,79.8,
13/04/2024 1:00,31.07,79.84,
13/04/2024 0:50,31.05,79.88,
13/04/2024 0:40,31.02,79.92,
13/04/2024 0:30,31,79.96,
13/04/2024 0:20,31.35,79.04,
13/04/2024 0:10,31.3,79.15,
13/04/2024 0:00,31.25,79.26,
12/04/2024 23:50,31.21,79.37,
12/04/2024 23:40,31.16,79.48,
12/04/2024 23:30,31.11,79.59,
12/04/2024 23:20,31.07,79.7,
12/04/2024 23:10,31.02,79.81,
12/04/2024 23:00,30.97,79.92,
12/04/2024 22:50,30.93,80.03,
12/04/2024 22:40,31.25,79.26,
12/04/2024 22:30,31.21,79.38,
12/04/2024 22:20,31.17,79.5,
12/04/2024 22:10,31.13,79.62,
12/04/2024 22:00,31.09,79.74,
12/04/2024 21:50,31.06,79.86,
12/04/2024 21:40,31.02,79.98,
12/04/2024 21:30,30.98,80.1,
12/04/2024 21:20,30.94,80.22,
12/04/2024 21:10,30.91,80.34,
12/04/2024 21:00,30.97,79.45,
12/04/2024 20:50,31.02,79.59,
12/04/2024 20:40,31.07,79.72,
12/04/2024 20:30,31.12,79.85,
12/04/2024 20:20,31.17,79.98,
12/04/2024 20:10,31.22,80.12,
12/04/2024 20:00,31.27,80.25,
12/04/2024 19:50,31.32,80.38,
12/04/2024 19:40,31.37,80.51,
12/04/2024 19:30,31.42,80.64,
12/04/2024 19:20,31.5,80.57,
12/04/2024 19:10,31.47,80.47,
12/04/2024 19:00,31.44,80.38,
12/04/2024 18:50,31.41,80.29,
12/04/2024 18:40,31.38,80.2,
12/04/2024 18:30,31.35,80.11,
12/04/2024 18:20,31.32,80.02,
12/04/2024 18:10,31.29,79.93,
12/04/2024 18:00,31.26,79.84,
12/04/2024 17:50,31.23,79.75,
12/04/2024 17:40,31.1,80,
12/04/2024 17:30,31.15,79.87,
12/04/2024 17:20,31.2,79.75,
12/04/2024 17:10,31.25,79.62,
12/04/2024 17:00,31.3,79.5,
12/04/2024 16:50,31.34,79.37,
12/04/2024 16:40,31.39,79.25,
12/04/2024 16:30,31.44,79.12,
12/04/2024 16:20,31.49,79,
12/04/2024 16:10,31.53,78.88,
12/04/2024 16:00,31.47,78.5,
12/04/2024 15:50,31.41,77.77,
12/04/2024 15:40,31.35,77.04,
12/04/2024 15:30,31.3,76.31,
12/04/2024 15:20,31.24,75.58,
12/04/2024 15:10,31.19,74.86,
12/04/2024 15:00,31.13,74.13,
12/04/2024 14:50,31.08,73.4,
12/04/2024 14:40,31.02,72.67,
12/04/2024 14:30,30.97,71.95,
12/04/2024 14:20,30.97,81.02,
12/04/2024 14:10,31.02,77.55,
12/04/2024 14:00,31.06,74.08,
12/04/2024 13:50,31.1,70.62,
12/04/2024 13:40,31.14,67.15,
12/04/2024 13:30,31.19,63.69,
12/04/2024 13:20,31.23,60.22,
12/04/2024 13:10,31.27,56.76,
12/04/2024 13:00,31.31,53.29,
12/04/2024 12:50,31.35,49.83,
12/04/2024 12:40,31.35,80.94,
12/04/2024 12:30,31.32,80.82,
12/04/2024 12:20,31.29,80.7,
12/04/2024 12:10,31.27,80.59,
12/04/2024 12:00,31.24,80.47,
12/04/2024 11:50,31.22,80.35,
12/04/2024 11:40,31.19,80.24,
12/04/2024 11:30,31.17,80.12,
12/04/2024 11:20,31.14,80,
12/04/2024 11:10,31.12,79.89,
12/04/2024 11:00,31.09,80.3,
12/04/2024 10:50,31.15,80.22,
12/04/2024 10:40,31.2,80.15,
12/04/2024 10:30,31.25,80.07,
12/04/2024 10:20,31.31,80,
12/04/2024 10:10,31.36,79.92,
12/04/2024 10:00,31.41,79.85,
12/04/2024 9:50,31.47,79.77,
12/04/2024 9:40,31.52,79.7,
12/04/2024 9:30,31.57,79.63,
12/04/2024 9:20,31.35,80.01,
12/04/2024 9:10,31.31,79.92,
12/04/2024 9:00,31.27,79.83,
12/04/2024 8:50,31.24,79.74,
12/04/2024 8:40,31.2,79.65,
12/04/2024 8:30,31.17,79.56,
12/04/2024 8:20,31.13,79.47,
12/04/2024 8:10,31.1,79.38,
12/04/2024 8:00,31.06,79.29,
12/04/2024 7:50,31.03,79.2,
12/04/2024 7:40,31.44,79.53,
12/04/2024 7:30,31.38,79.45,
12/04/2024 7:20,31.33,79.37,
12/04/2024 7:10,31.28,79.29,
12/04/2024 7:00,31.23,79.21,
12/04/2024 6:50,31.17,79.13,
12/04/2024 6:40,31.12,79.05,
12/04/2024 6:30,31.07,78.97,
12/04/2024 6:20,31.02,78.89,
12/04/2024 6:10,30.97,78.82,
12/04/2024 6:00,30.75,79.12,
12/04/2024 5:50,30.79,79.02,
12/04/2024 5:40,30.83,78.93,
12/04/2024 5:30,30.87,78.84,
12/04/2024 5:20,30.91,78.75,
12/04/2024 5:10,30.94,78.65,
12/04/2024 5:00,30.98,78.56,
12/04/2024 4:50,31.02,78.47,
12/04/2024 4:40,31.06,78.38,
12/04/2024 4:30,31.09,78.29,
12/04/2024 4:20,31.23,78.76,
12/04/2024 4:10,31.19,78.62,
12/04/2024 4:00,31.15,78.48,
12/04/2024 3:50,31.12,78.35,
12/04/2024 3:40,31.08,78.21,
12/04/2024 3:30,31.05,78.08,
12/04/2024 3:20,31.01,77.94,
12/04/2024 3:10,30.98,77.81,
12/04/2024 3:00,30.94,77.67,
12/04/2024 2:50,30.91,77.54,
12/04/2024 2:40,30.71,77.5,
12/04/2024 2:30,30.77,77.65,
12/04/2024 2:20,30.82,77.8,
12/04/2024 2:10,30.88,77.94,
12/04/2024 2:00,30.93,78.09,
12/04/2024 1:50,30.99,78.23,
12/04/2024 1:40,31.04,78.38,
12/04/2024 1:30,31.1,78.52,
12/04/2024 1:20,31.15,78.67,
12/04/2024 1:10,31.2,78.81,
12/04/2024 1:00,31.07,77.88,
12/04/2024 0:50,31.03,78.01,
12/04/2024 0:40,31,78.14,
12/04/2024 0:30,30.97,78.27,
12/04/2024 0:20,30.94,78.4,
12/04/2024 0:10,30.9,78.53,
12/04/2024 0:00,30.87,78.66,
11/04/2024 23:50,30.84,78.79,
11/04/2024 23:40,30.81,78.92,
11/04/2024 23:30,30.78,79.04,
11/04/2024 23:20,31.1,78.94,
11/04/2024 23:10,31.06,78.81,
11/04/2024 23:00,31.02,78.68,
11/04/2024 22:50,30.99,78.55,
11/04/2024 22:40,30.95,78.42,
11/04/2024 22:30,30.92,78.29,
11/04/2024 22:20,30.88,78.16,
11/04/2024 22:10,30.85,78.03,
11/04/2024 22:00,30.81,77.9,
11/04/2024 21:50,30.78,77.78,
11/04/2024 21:40,30.71,78.91,
11/04/2024 21:30,30.77,78.87,
11/04/2024 21:20,30.83,78.83,
11/04/2024 21:10,30.89,78.79,
11/04/2024 21:00,30.95,78.75,
11/04/2024 20:50,31,78.71,
11/04/2024 20:40,31.06,78.67,
11/04/2024 20:30,31.12,78.63,
11/04/2024 20:20,31.18,78.59,
11/04/2024 20:10,31.23,78.55,
11/04/2024 20:00,31.42,79.28,
11/04/2024 19:50,31.38,79.18,
11/04/2024 19:40,31.35,79.08,
11/04/2024 19:30,31.32,78.99,
11/04/2024 19:20,31.28,78.89,
11/04/2024 19:10,31.25,78.79,
11/04/2024 19:00,31.22,78.7,
11/04/2024 18:50,31.18,78.6,
11/04/2024 18:40,31.15,78.5,
11/04/2024 18:30,31.12,78.41,
11/04/2024 18:20,31.35,79.18,
11/04/2024 18:10,31.32,79.09,
11/04/2024 18:00,31.29,79.01,
11/04/2024 17:50,31.27,78.93,
11/04/2024 17:40,31.24,78.85,
11/04/2024 17:30,31.21,78.77,
11/04/2024 17:20,31.19,78.69,
11/04/2024 17:10,31.16,78.61,
11/04/2024 17:00,31.13,78.53,
11/04/2024 16:50,31.11,78.45,
11/04/2024 16:40,31.42,78.11,
11/04/2024 16:30,31.38,78.39,
11/04/2024 16:20,31.34,78.67,
11/04/2024 16:10,31.31,78.94,
11/04/2024 16:00,31.27,79.22,
11/04/2024 15:50,31.23,79.49,
11/04/2024 15:40,31.2,79.77,
11/04/2024 15:30,31.16,80.04,
11/04/2024 15:20,31.12,80.32,
11/04/2024 15:10,31.09,80.59,
11/04/2024 15:00,31.07,80.5,
11/04/2024 14:50,31.11,80.4,
11/04/2024 14:40,31.14,80.3,
11/04/2024 14:30,31.18,80.2,
11/04/2024 14:20,31.21,80.1,
11/04/2024 14:10,31.25,80.01,
11/04/2024 14:00,31.28,79.91,
11/04/2024 13:50,31.32,79.81,
11/04/2024 13:40,31.35,79.71,
11/04/2024 13:30,31.38,79.62,
11/04/2024 13:20,31.35,80,
11/04/2024 13:10,31.32,79.92,
11/04/2024 13:00,31.3,79.84,
11/04/2024 12:50,31.28,79.76,
11/04/2024 12:40,31.26,79.68,
11/04/2024 12:30,31.23,79.6,
11/04/2024 12:20,31.21,79.52,
11/04/2024 12:10,31.19,79.44,
11/04/2024 12:00,31.17,79.36,
11/04/2024 11:50,31.15,79.29,
11/04/2024 11:40,31.03,79.6,
11/04/2024 11:30,31.06,79.52,
11/04/2024 11:20,31.09,79.44,
11/04/2024 11:10,31.12,79.37,
11/04/2024 11:00,31.15,79.29,
11/04/2024 10:50,31.17,79.21,
11/04/2024 10:40,31.2,79.14,
11/04/2024 10:30,31.23,79.06,
11/04/2024 10:20,31.26,78.98,
11/04/2024 10:10,31.28,78.91,
11/04/2024 10:00,31,78.97,
11/04/2024 9:50,31.04,78.87,
11/04/2024 9:40,31.07,78.77,
11/04/2024 9:30,31.1,78.67,
11/04/2024 9:20,31.13,78.57,
11/04/2024 9:10,31.16,78.47,
11/04/2024 9:00,31.19,78.37,
11/04/2024 8:50,31.22,78.27,
11/04/2024 8:40,31.25,78.17,
11/04/2024 8:30,31.28,78.07,
11/04/2024 8:20,31.28,78.25,
11/04/2024 8:10,31.24,78.12,
11/04/2024 8:00,31.21,77.99,
11/04/2024 7:50,31.17,77.87,
11/04/2024 7:40,31.14,77.74,
