Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:59:B8)
11/03/2024 4:00,32.3,59.24,
11/03/2024 3:50,32.38,58.76,
11/03/2024 3:40,31.53,64.09,
11/03/2024 3:30,31.61,63.57,
11/03/2024 3:20,31.69,63.05,
11/03/2024 3:10,31.77,62.53,
11/03/2024 3:00,31.85,62.01,
11/03/2024 2:50,31.93,61.49,
11/03/2024 2:40,32.01,60.97,
11/03/2024 2:30,32.09,60.45,
11/03/2024 2:20,32.17,59.93,
11/03/2024 2:10,32.24,59.41,
11/03/2024 2:00,31.43,58.53,
11/03/2024 1:50,31.51,59.19,
11/03/2024 1:40,31.59,59.85,
11/03/2024 1:30,31.66,60.51,
11/03/2024 1:20,31.74,61.17,
11/03/2024 1:10,31.82,61.83,
11/03/2024 1:00,31.89,62.49,
11/03/2024 0:50,31.97,63.15,
11/03/2024 0:40,32.05,63.81,
11/03/2024 0:30,32.12,64.47,
11/03/2024 0:20,31.36,64.9,
11/03/2024 0:10,31.46,64.4,
11/03/2024 0:00,31.56,63.9,
10/03/2024 23:50,31.66,63.4,
10/03/2024 23:40,31.76,62.9,
10/03/2024 23:30,31.85,62.4,
10/03/2024 23:20,31.95,61.9,
10/03/2024 23:10,32.05,61.4,
10/03/2024 23:00,32.15,60.9,
10/03/2024 22:50,32.24,60.4,
10/03/2024 22:40,31.36,61.19,
10/03/2024 22:30,31.45,61.63,
10/03/2024 22:20,31.53,62.07,
10/03/2024 22:10,31.62,62.51,
10/03/2024 22:00,31.7,62.95,
10/03/2024 21:50,31.79,63.39,
10/03/2024 21:40,31.87,63.83,
10/03/2024 21:30,31.96,64.27,
10/03/2024 21:20,32.04,64.71,
10/03/2024 21:10,32.12,65.15,
10/03/2024 21:00,31.34,61.47,
10/03/2024 20:50,31.47,61.97,
10/03/2024 20:40,31.6,62.46,
10/03/2024 20:30,31.73,62.95,
10/03/2024 20:20,31.86,63.44,
10/03/2024 20:10,31.98,63.93,
10/03/2024 20:00,32.11,64.42,
10/03/2024 19:50,32.24,64.91,
10/03/2024 19:40,32.37,65.4,
10/03/2024 19:30,32.49,65.89,
10/03/2024 19:20,31.92,65.55,
10/03/2024 19:10,31.99,65.07,
10/03/2024 19:00,32.05,64.59,
10/03/2024 18:50,32.11,64.11,
10/03/2024 18:40,32.17,63.63,
10/03/2024 18:30,32.24,63.15,
10/03/2024 18:20,32.3,62.67,
10/03/2024 18:10,32.36,62.19,
10/03/2024 18:00,32.42,61.71,
10/03/2024 17:50,32.48,61.23,
10/03/2024 17:40,32.74,65.08,
10/03/2024 17:30,32.64,64.74,
10/03/2024 17:20,32.55,64.41,
10/03/2024 17:10,32.46,64.08,
10/03/2024 17:00,32.37,63.75,
10/03/2024 16:50,32.28,63.42,
10/03/2024 16:40,32.19,63.09,
10/03/2024 16:30,32.1,62.76,
10/03/2024 16:20,32.01,62.43,
10/03/2024 16:10,31.92,62.1,
10/03/2024 16:00,31.98,65.42,
10/03/2024 15:50,32.07,65.02,
10/03/2024 15:40,32.15,64.63,
10/03/2024 15:30,32.24,64.24,
10/03/2024 15:20,32.32,63.85,
10/03/2024 15:10,32.41,63.46,
10/03/2024 15:00,32.49,63.07,
10/03/2024 14:50,32.58,62.68,
10/03/2024 14:40,32.66,62.29,
10/03/2024 14:30,32.74,61.9,
10/03/2024 14:20,32.56,62.12,
10/03/2024 14:10,32.51,62.68,
10/03/2024 14:00,32.46,63.23,
10/03/2024 13:50,32.41,63.78,
10/03/2024 13:40,32.36,64.33,
10/03/2024 13:30,32.31,64.88,
