Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:45:D3)
29/02/2024 4:40,30.2,65.48,
29/02/2024 4:30,30.15,65.59,
29/02/2024 4:20,30.1,65.7,
29/02/2024 4:10,30.05,65.81,
29/02/2024 4:00,30,65.92,
29/02/2024 3:50,29.95,66.03,
29/02/2024 3:40,29.9,66.14,
29/02/2024 3:30,29.86,66.25,
29/02/2024 3:20,29.86,65.44,
29/02/2024 3:10,29.92,65.54,
29/02/2024 3:00,29.97,65.64,
29/02/2024 2:50,30.02,65.74,
29/02/2024 2:40,30.07,65.84,
29/02/2024 2:30,30.13,65.94,
29/02/2024 2:20,30.18,66.04,
29/02/2024 2:10,30.23,66.14,
29/02/2024 2:00,30.28,66.24,
29/02/2024 1:50,30.33,66.33,
29/02/2024 1:40,30.24,65.69,
29/02/2024 1:30,30.19,65.8,
29/02/2024 1:20,30.15,65.9,
29/02/2024 1:10,30.11,66,
29/02/2024 1:00,30.07,66.11,
29/02/2024 0:50,30.02,66.21,
29/02/2024 0:40,29.98,66.31,
29/02/2024 0:30,29.94,66.42,
29/02/2024 0:20,29.9,66.52,
29/02/2024 0:10,29.86,66.62,
29/02/2024 0:00,30.24,66.17,
28/02/2024 23:50,30.19,66.3,
28/02/2024 23:40,30.15,66.42,
28/02/2024 23:30,30.11,66.54,
28/02/2024 23:20,30.07,66.66,
28/02/2024 23:10,30.02,66.79,
28/02/2024 23:00,29.98,66.91,
28/02/2024 22:50,29.94,67.03,
28/02/2024 22:40,29.9,67.15,
28/02/2024 22:30,29.86,67.27,
28/02/2024 22:20,30.35,66.74,
28/02/2024 22:10,30.29,66.9,
28/02/2024 22:00,30.24,67.05,
28/02/2024 21:50,30.18,67.2,
28/02/2024 21:40,30.13,67.35,
28/02/2024 21:30,30.07,67.51,
28/02/2024 21:20,30.02,67.66,
28/02/2024 21:10,29.96,67.81,
28/02/2024 21:00,29.91,67.96,
28/02/2024 20:50,29.86,68.11,
28/02/2024 20:40,29.86,67.58,
28/02/2024 20:30,29.92,67.77,
28/02/2024 20:20,29.98,67.95,
28/02/2024 20:10,30.04,68.13,
28/02/2024 20:00,30.1,68.31,
28/02/2024 19:50,30.16,68.5,
28/02/2024 19:40,30.22,68.68,
28/02/2024 19:30,30.28,68.86,
28/02/2024 19:20,30.34,69.04,
28/02/2024 19:10,30.39,69.22,
28/02/2024 19:00,30.48,68.98,
28/02/2024 18:50,30.53,68.86,
28/02/2024 18:40,30.57,68.74,
28/02/2024 18:30,30.61,68.63,
28/02/2024 18:20,30.65,68.51,
28/02/2024 18:10,30.7,68.39,
28/02/2024 18:00,30.74,68.28,
28/02/2024 17:50,30.78,68.16,
28/02/2024 17:40,30.82,68.04,
28/02/2024 17:30,30.86,67.93,
28/02/2024 17:20,30.86,68.24,
28/02/2024 17:10,30.83,68.03,
28/02/2024 17:00,30.8,67.83,
28/02/2024 16:50,30.77,67.63,
28/02/2024 16:40,30.74,67.43,
28/02/2024 16:30,30.72,67.22,
28/02/2024 16:20,30.69,67.02,
28/02/2024 16:10,30.66,66.82,
28/02/2024 16:00,30.63,66.62,
28/02/2024 15:50,30.61,66.42,
28/02/2024 15:40,30.86,64.01,
28/02/2024 15:30,30.81,64.27,
28/02/2024 15:20,30.77,64.52,
28/02/2024 15:10,30.73,64.77,
28/02/2024 15:00,30.69,65.02,
28/02/2024 14:50,30.64,65.28,
28/02/2024 14:40,30.6,65.53,
28/02/2024 14:30,30.56,65.78,
28/02/2024 14:20,30.52,66.03,
28/02/2024 14:10,30.48,66.28,
28/02/2024 14:00,30.74,64.23,
28/02/2024 13:50,30.71,63.77,
28/02/2024 13:40,30.68,63.32,
28/02/2024 13:30,30.65,62.87,
28/02/2024 13:20,30.62,62.42,
28/02/2024 13:10,30.59,61.97,
28/02/2024 13:00,30.56,61.52,
28/02/2024 12:50,30.53,61.07,
28/02/2024 12:40,30.5,60.62,
28/02/2024 12:30,30.48,60.17,
28/02/2024 12:20,30.39,59.4,
28/02/2024 12:10,30.43,58.38,
28/02/2024 12:00,30.47,57.36,
28/02/2024 11:50,30.51,56.34,
28/02/2024 11:40,30.55,55.32,
28/02/2024 11:30,30.59,54.31,
28/02/2024 11:20,30.63,53.29,
28/02/2024 11:10,30.67,52.27,
28/02/2024 11:00,30.71,51.25,
28/02/2024 10:50,30.74,50.24,
28/02/2024 10:40,30.66,64.43,
28/02/2024 10:30,30.62,61.49,
28/02/2024 10:20,30.59,58.55,
28/02/2024 10:10,30.56,55.61,
28/02/2024 10:00,30.53,52.67,
28/02/2024 9:50,30.49,49.73,
28/02/2024 9:40,30.46,46.79,
28/02/2024 9:30,30.43,43.85,
28/02/2024 9:20,30.4,40.91,
28/02/2024 9:10,30.37,37.97,
28/02/2024 9:00,30.48,64.8,
28/02/2024 8:50,30.5,64.67,
28/02/2024 8:40,30.51,64.54,
28/02/2024 8:30,30.53,64.41,
28/02/2024 8:20,30.54,64.28,
28/02/2024 8:10,30.56,64.15,
28/02/2024 8:00,30.57,64.02,
28/02/2024 7:50,30.59,63.89,
28/02/2024 7:40,30.6,63.76,
28/02/2024 7:30,30.61,63.64,
28/02/2024 7:20,30.74,63.64,
28/02/2024 7:10,30.69,63.48,
28/02/2024 7:00,30.64,63.32,
28/02/2024 6:50,30.6,63.17,
